# name, ra dec R:0-1 G:0-1 B:0-1 alpha size band jd count 
8_33 68.32931186872514 18.09656960777873 1 0 1 1 30 I 2458492.56903694 190675.8694130013
8_34 68.32976919321891 18.188724498452626 1 0 1 1 30 I 2458492.56903694 237227.64040605712
8_36 68.32888014726937 18.347736645562144 1 0 1 1 30 I 2458492.56903694 203262.37415414094
8_40 68.30011506113671 18.264970514916744 1 0 1 1 30 I 2458492.56903694 272523.4306279939
8_43 68.29032137165295 18.02942102985028 1 0 1 1 30 I 2458492.56903694 77617.62526888121
8_45 68.22993586251722 18.119580082742132 1 0 1 1 30 I 2458492.56903694 125268.60118591454
8_46 68.22641729073797 18.088124657554935 1 0 1 1 30 I 2458492.56903694 190928.61304870114
9_3 68.61133390322973 18.01774720574792 1 0 1 1 30 I 2458493.56853693 89895.8417968562
9_4 68.6120529253572 18.26526379756199 1 0 1 1 30 I 2458493.56853693 104474.8181319786
9_5 68.58770516285165 18.31338326400824 1 0 1 1 30 I 2458493.56853693 160194.41904605995
9_6 68.5532448192165 18.331730449170724 1 0 1 1 30 I 2458493.56853693 157247.29666642757
9_7 68.51031614169571 18.402242421172915 1 0 1 1 30 I 2458493.56853693 171046.06696479337
9_8 68.47581182244336 18.033285741441954 1 0 1 1 30 I 2458493.56853693 104548.14104365115
9_9 68.4702210709443 18.054833281924644 1 0 1 1 30 I 2458493.56853693 81544.4851276676
9_14 68.37736016532632 18.352577998837926 1 0 1 1 30 I 2458493.56853693 130393.11311046334
9_17 68.3291281731487 18.096679537778456 1 0 1 1 30 I 2458493.56853693 197833.48697629466
9_18 68.32962282149803 18.188826061675737 1 0 1 1 30 I 2458493.56853693 247200.8935083024
9_19 68.32873852921718 18.347858437857887 1 0 1 1 30 I 2458493.56853693 240968.96335100583
9_21 68.30058194872734 18.264994191487645 1 0 1 1 30 I 2458493.56853693 270706.9585132821
9_22 68.29998365624351 18.265103333578253 1 0 1 1 30 I 2458493.56853693 270706.9585132821
9_23 68.29014155905315 18.029533524955603 1 0 1 1 30 I 2458493.56853693 85977.36455958107
9_25 68.2262367892588 18.088234620496074 1 0 1 1 30 I 2458493.56853693 208867.72562932275
10_5 68.61792624418545 18.376553311341063 1 0 1 1 30 V 2458493.56380615 37873.69358258459
10_7 68.61160495656922 18.26526725426781 1 0 1 1 30 V 2458493.56380615 62248.66390280274
10_9 68.58722267207433 18.313334879160113 1 0 1 1 30 V 2458493.56380615 77992.05647838577
10_11 68.55734028933881 18.359169309007246 1 0 1 1 30 V 2458493.56380615 53435.65164803233
10_17 68.47583827178237 18.033474711401077 1 0 1 1 30 V 2458493.56380615 69095.69380036734
10_36 68.29578439314642 18.023685742669244 1 0 1 1 30 V 2458493.56380615 77329.76454275563
12_5 68.63094582214582 18.21716994664965 1 0 1 1 30 R 2458491.567211 83705.23591980142
12_13 68.61224670428648 18.265137008810107 1 0 1 1 30 R 2458491.567211 119220.59056028613
12_17 68.58790527348347 18.31330041692811 1 0 1 1 30 R 2458491.567211 187439.46054215526
12_20 68.55803964948835 18.359258425234998 1 0 1 1 30 R 2458491.567211 106664.18828818316
12_22 68.55346819877265 18.33162392802752 1 0 1 1 30 R 2458491.567211 235798.35023331392
12_25 68.51054804033662 18.402139990754225 1 0 1 1 30 R 2458491.567211 253400.1532100645
12_29 68.47595213543619 18.033166723106888 1 0 1 1 30 R 2458491.567211 125460.93646110185
12_40 68.37758657109468 18.352432370209424 1 0 1 1 30 R 2458491.567211 187417.7011009151
12_41 68.37772307099424 18.408415779151987 1 0 1 1 30 R 2458491.567211 76079.20945738602
12_45 68.34418829273223 18.021376507087478 1 0 1 1 30 R 2458491.567211 82482.28506502666
12_46 68.33082710149193 18.180431716206407 1 0 1 1 30 R 2458491.567211 96580.51873638002
12_47 68.32930622570528 18.096533415324814 1 0 1 1 30 R 2458491.567211 315577.39336846385
12_48 68.329810990752 18.18868159464469 1 0 1 1 30 R 2458491.567211 308652.1604140239
12_50 68.32895045999632 18.34768942313218 1 0 1 1 30 R 2458491.567211 242943.17174672295
12_51 68.32833082656012 18.349625913890026 1 0 1 1 30 R 2458491.567211 242943.17174672295
12_56 68.30015191227498 18.264915066876455 1 0 1 1 30 R 2458491.567211 424425.1607527189
12_60 68.29027766076082 18.029376983624136 1 0 1 1 30 R 2458491.567211 124111.21180474092
12_66 68.2299273461105 18.119540322517057 1 0 1 1 30 R 2458491.567211 187858.91917943535
12_68 68.22903808484838 18.400670989010198 1 0 1 1 30 R 2458491.567211 122726.08617076854
15_0 68.66643983564192 18.09267486548646 1 0 1 1 30 R 2458492.56745289 89754.18579391725
15_1 68.65367850860322 18.34555767937911 1 0 1 1 30 R 2458492.56745289 63344.00107416109
15_3 68.63091586568133 18.217234400549692 1 0 1 1 30 R 2458492.56745289 84145.96456127858
15_7 68.618673762454 18.376681572608902 1 0 1 1 30 R 2458492.56745289 66160.29503665378
15_9 68.61220926519462 18.26522527104587 1 0 1 1 30 R 2458492.56745289 119530.28008703058
15_12 68.58784785052907 18.313378752703667 1 0 1 1 30 R 2458492.56745289 186282.28855841036
15_14 68.55794512373056 18.35933008544571 1 0 1 1 30 R 2458492.56745289 105542.49135502127
15_15 68.55338212352375 18.331703799576054 1 0 1 1 30 R 2458492.56745289 235050.25216143543
15_16 68.54527155664587 18.381625219012715 1 0 1 1 30 R 2458492.56745289 64382.67779632128
15_18 68.51044200197941 18.402225635530485 1 0 1 1 30 R 2458492.56745289 251898.32561880804
15_20 68.47592481886264 18.0332043992999 1 0 1 1 30 R 2458492.56745289 125581.99740705788
15_24 68.41715922290884 18.07366638917487 1 0 1 1 30 R 2458492.56745289 66391.67695548013
15_25 68.37748754042256 18.35252482175983 1 0 1 1 30 R 2458492.56745289 187765.27495146234
15_26 68.37758472617499 18.408513938309945 1 0 1 1 30 R 2458492.56745289 75629.79253565046
15_30 68.32924982548322 18.096592400425017 1 0 1 1 30 R 2458492.56745289 313900.37582080625
15_31 68.32973461704579 18.188757552816316 1 0 1 1 30 R 2458492.56745289 309868.05637458677
15_33 68.32883823272537 18.347784300906174 1 0 1 1 30 R 2458492.56745289 235096.06528140494
15_38 68.29554684626413 18.023623009521646 1 0 1 1 30 R 2458492.56745289 121831.93611648217
15_39 68.29025062840859 18.02945305791376 1 0 1 1 30 R 2458492.56745289 123065.72123977703
15_41 68.22986898137962 18.11962069075718 1 0 1 1 30 R 2458492.56745289 186320.86728731042
16_2 68.61134956289719 18.017720862503545 1 0 1 1 30 R 2458493.56618446 102204.39485163712
16_3 68.58772773286064 18.313417152226506 1 0 1 1 30 R 2458493.56618446 188837.0185795966
16_4 68.55329884480967 18.33174315993916 1 0 1 1 30 R 2458493.56618446 232436.85967690157
16_5 68.51036510929359 18.40233873153017 1 0 1 1 30 R 2458493.56618446 252963.08560437054
16_6 68.47587678241634 18.03330843209851 1 0 1 1 30 R 2458493.56618446 127274.11339709071
16_9 68.37735376787374 18.35258629276926 1 0 1 1 30 R 2458493.56618446 186335.92769478532
16_11 68.3291712313963 18.09665585563182 1 0 1 1 30 R 2458493.56618446 310055.80040624994
16_12 68.32961907353602 18.188816553031398 1 0 1 1 30 R 2458493.56618446 306539.1683733191
16_13 68.328726046809 18.347858355527187 1 0 1 1 30 R 2458493.56618446 263175.06560443377
16_17 68.29019124050903 18.02951217989524 1 0 1 1 30 R 2458493.56618446 123956.4084865077
16_18 68.22979296607214 18.119676403964053 1 0 1 1 30 R 2458493.56618446 187181.0953947954
16_19 68.22628582360656 18.08825324572528 1 0 1 1 30 R 2458493.56618446 210081.0015914616
17_3 68.63094266029682 18.217191233222508 1 0 1 1 30 I 2458492.56823317 62542.1828116857
17_8 68.61225522978377 18.26517289290855 1 0 1 1 30 I 2458492.56823317 80530.60144715311
17_9 68.61182883631751 18.261476257510743 1 0 1 1 30 I 2458492.56823317 80530.60144715311
17_12 68.587891533577 18.313328264441843 1 0 1 1 30 I 2458492.56823317 149690.20089945674
17_14 68.55801946644435 18.359284630918552 1 0 1 1 30 I 2458492.56823317 75900.65241102054
17_15 68.55344008905416 18.331664610266664 1 0 1 1 30 I 2458492.56823317 153566.1378142918
