# JD     source_name     fwhm     I_band_counts     V_band_counts     R_band_counts     I_band_magnitudes     I_band_magnitudes_Error     V_band_magnitudes     V_band_magnitudes_Error     R_band_magnitudes     R_band_magnitudes_Error     
2458491.56320821     dm_tau     7.744108324383229     0.0     55038.541385866556     0.0     0.0     0.0     13.937072565804431     0.01726373181947751     0.0     0.0     
2458491.56406927     dm_tau     5.43992852042488     0.0     55945.54071930755     0.0     0.0     0.0     13.933587199550713     0.02901717159634215     0.0     0.0     
2458491.5648587     dm_tau     4.466673661737546     0.0     55619.088179669096     0.0     0.0     0.0     13.931215157108541     0.034367562057707426     0.0     0.0     
2458491.56563715     dm_tau     4.289152973758348     0.0     0.0     170268.77215662535     0.0     0.0     0.0     0.0     12.633062105797935     0.13656283028430086     
2458491.56643016     dm_tau     4.291210970458979     0.0     0.0     170998.44275660696     0.0     0.0     0.0     0.0     12.626349888177698     0.1556668523523358     
2458491.567211     dm_tau     4.314193203701854     0.0     0.0     171159.57049615664     0.0     0.0     0.0     0.0     12.632288435806561     0.1653804052360023     
2458491.56799249     dm_tau     4.036845887187906     162370.11177676707     0.0     0.0     12.663646531902218     0.7879168508041758     0.0     0.0     0.0     0.0     
2458491.56877346     dm_tau     3.900099673226792     162230.49799947912     0.0     0.0     12.647119530260094     0.7968377926892586     0.0     0.0     0.0     0.0     
2458491.56955438     dm_tau     3.9716673090795243     163353.18003790273     0.0     0.0     12.69217123668703     0.814151746943579     0.0     0.0     0.0     0.0     
2458492.56588635     dm_tau     3.6760730198907696     0.0     0.0     153999.851106296     0.0     0.0     0.0     0.0     12.765527985137757     0.1345513514148085     
2458492.56745289     dm_tau     3.996056047534967     0.0     0.0     154699.01707653698     0.0     0.0     0.0     0.0     12.765653288700612     0.13281014027056193     
2458492.56823317     dm_tau     3.824529407504998     153202.44365447722     0.0     0.0     12.741384510718223     0.815578114674     0.0     0.0     0.0     0.0     
2458492.56903694     dm_tau     4.107466059073284     153285.88704047102     0.0     0.0     12.767419751054254     0.7725890356151118     0.0     0.0     0.0     0.0     
2458492.569831     dm_tau     4.003881230579353     153726.20722551996     0.0     0.0     12.764056958490704     0.7718940717249834     0.0     0.0     0.0     0.0     
2458493.56618446     dm_tau     5.902868270333887     0.0     0.0     134944.34975585155     0.0     0.0     0.0     0.0     12.899080160485065     0.12993565033384927     
2458493.56697859     dm_tau     6.303090389963662     0.0     0.0     135369.76826687437     0.0     0.0     0.0     0.0     12.904423382779417     0.11907441373084574     
2458493.567761     dm_tau     6.403744106378722     0.0     0.0     135121.87877666752     0.0     0.0     0.0     0.0     12.903724416361975     0.131285454740021     
2458494.59689922     dm_tau     4.9457414195189875     0.0     81719.51770393533     0.0     0.0     0.0     14.424440437701953     0.02892189245405396     0.0     0.0     
2458494.59868628     dm_tau     4.337155458787867     0.0     0.0     313661.372700006     0.0     0.0     0.0     0.0     12.940081874381256     0.10823096786985964     
2458494.60040152     dm_tau     4.2388065914414375     313125.79171204276     0.0     0.0     12.9462620314316     0.6060981923427113     0.0     0.0     0.0     0.0     
2458495.56285394     dm_tau     5.290100505675607     0.0     58887.54234603781     0.0     0.0     0.0     14.37483502929742     0.014465806084900293     0.0     0.0     
2458495.56409741     dm_tau     4.2384053530150485     0.0     0.0     173504.60897792235     0.0     0.0     0.0     0.0     12.871161823227062     0.11528968347723408     
2458495.56512838     dm_tau     3.8144733627980782     183101.03725467116     0.0     0.0     12.888096479434665     0.8614072401746293     0.0     0.0     0.0     0.0     
2458496.55899247     dm_tau     3.810580228329151     0.0     69908.98107628128     0.0     0.0     0.0     14.2171939678371     0.027689907317830456     0.0     0.0     
2458496.56032325     dm_tau     3.3397920531985537     0.0     0.0     178371.47887038632     0.0     0.0     0.0     0.0     12.878878830952889     0.11842834486590441     
2458496.56134466     dm_tau     3.1186667830717334     190307.65551909542     0.0     0.0     12.778970947421389     0.8124604665156127     0.0     0.0     0.0     0.0     
2458498.58592707     dm_tau     3.4388481120672663     0.0     80516.3843941185     0.0     0.0     0.0     14.091408729679603     0.028219602278838525     0.0     0.0     
2458498.58725939     dm_tau     3.0118880422768664     0.0     0.0     189008.56222694728     0.0     0.0     0.0     0.0     12.87656860172795     0.08074998923719266     
2458498.58827719     dm_tau     2.9735835694139414     196648.096149978     0.0     0.0     12.984658195129793     0.5406484037738885     0.0     0.0     0.0     0.0     
2458499.5603736     dm_tau     4.929752467520345     0.0     82113.56723791956     0.0     0.0     0.0     14.061160392873543     0.024525019778194684     0.0     0.0     
2458499.56160539     dm_tau     3.4448316814613333     0.0     0.0     188319.9860696511     0.0     0.0     0.0     0.0     12.814061214955538     0.10543904775936438     
2458499.5626159     dm_tau     3.117732669806216     188296.19316402054     0.0     0.0     12.691503985362779     0.9111926711699565     0.0     0.0     0.0     0.0     
2458502.61028573     dm_tau     4.795073109824325     0.0     0.0     183617.14480988574     0.0     0.0     0.0     0.0     12.922677609833997     0.06643371099819653     
2458502.61138985     dm_tau     2.542427076157045     185421.48024731484     0.0     0.0     13.001885049427347     0.5253287389658186     0.0     0.0     0.0     0.0     
2458502.61388679     dm_tau     2.966284275884667     0.0     68281.31461559705     0.0     0.0     0.0     14.252679626549362     0.032532065725594334     0.0     0.0     
2458502.61521738     dm_tau     2.8148479162943216     0.0     0.0     178306.02497226032     0.0     0.0     0.0     0.0     12.91703208878545     0.08845629473413485     
2458502.61624347     dm_tau     2.5429598276539056     185873.04261333146     0.0     0.0     12.812403227211858     0.7101930884399265     0.0     0.0     0.0     0.0     
2458503.59590507     dm_tau     5.702290393786315     0.0     70791.90332098863     0.0     0.0     0.0     14.24185956690363     0.012863401847312767     0.0     0.0     
2458503.59722594     dm_tau     5.553267362798572     0.0     0.0     184265.42205039941     0.0     0.0     0.0     0.0     12.989417588885132     0.0640363146630793     
2458503.59824601     dm_tau     4.625775972134192     189024.21271364848     0.0     0.0     11.84242932142144     0.08349558789552022     0.0     0.0     0.0     0.0     
